A,B,C,D
0.09775154901467148,0.12136081686758131,0.1329869960395626,0.6479006380781847
0.6313320002153076,0.1732130126027279,0.10343600991937839,0.09201897726258618
0.09611712979926706,0.09019899457918458,0.10946918453732213,0.7042146910842263
0.723300189178955,0.07840643056383083,0.07494628792836538,0.12334709232884879
0.7452421005839011,0.09163717555879815,0.07630011611233006,0.08682060774497073
0.10932983608768357,0.09096737300420614,0.08718175552998322,0.7125210353781272
0.09534289873282177,0.12208536267336634,0.12290998363122549,0.6596617549625864
0.5246818359823777,0.10953779218265879,0.30192158044855544,0.06385879138640804
0.08609000472286493,0.1122889325985174,0.6640014339177479,0.13761962876086978
0.08018359961486664,0.07454392500164075,0.06892287402338862,0.776349601360104
0.08233143662066508,0.07500542559335915,0.08715624129727503,0.7555068964887006
0.6277987211748196,0.14653460830557655,0.12780778253605185,0.09785888798355193
0.10768415541804653,0.10615077539024223,0.04214276193092096,0.7440223072607903
0.0951622417122461,0.09130558365858038,0.2064098481991,0.6071223264300736
0.11413977322713979,0.6504679230786434,0.11603107670652003,0.1193612269876967
0.10289176208067888,0.09240841090315287,0.10508857467490045,0.6996112523412678
0.7170321422420273,0.09060613174201977,0.08601813356121883,0.1063435924547342
0.7350165641339677,0.10675637661783509,0.089806428465733,0.06842063078246423
0.09097989360320106,0.09428079830378837,0.6646627034586423,0.15007660463436812
0.13405430711764962,0.4198465382213629,0.3408182715210194,0.10528088313996806
0.689547976955126,0.07908622366556103,0.08507666404681978,0.14628913533249324
0.07735412997923756,0.15792121009443086,0.6891348625248949,0.07558979740143683
0.08544214361531272,0.12068424441109948,0.09500518941601582,0.698868422557572
0.08800243096404572,0.1252285709820153,0.14939600812883452,0.6373729899251045
0.08412115765464712,0.7300666298108989,0.10572030467728619,0.08009190785716787
0.07787728770127017,0.08884662211277437,0.6680213304524145,0.16525475973354087
0.10398851554088964,0.09327788673697898,0.10683005754213526,0.6959035401799961
0.359806249030591,0.08673679050202286,0.19922698654268983,0.35422997392469635
0.7724596219574764,0.07614686191365252,0.08752002210660774,0.06387349402226335
0.7423152938851326,0.09874878563966853,0.08753992327903398,0.07139599719616468
0.07752531302839613,0.10519757420006515,0.7459741066477427,0.07130300612379606
0.08339289172171442,0.4760618066972017,0.3461641448025525,0.09438115677853137
0.07562179645897302,0.13911539952229995,0.668766677806849,0.11649612621187817
0.27157410705704316,0.08822376464117408,0.0877888950636066,0.5524132332381763
0.6163567376859271,0.06828584817342054,0.19999585441141574,0.11536155972923653
0.0905698731750708,0.18615192407197906,0.662462751790957,0.060815450961993096
0.6661856190906792,0.13084330911145142,0.09470179471196322,0.10826927708590631
0.09590476533494602,0.08606569435431029,0.09340906215079593,0.7246204781599478
0.1079585973514712,0.6591567512573685,0.1436017443441172,0.08928290704704293
0.0868820236483243,0.4771183679738372,0.35638011747227544,0.07961949090556296
0.09959840035064733,0.6502475552956526,0.12604665317029803,0.12410739118340205
0.15441999861212716,0.2676621800517507,0.43897230818517585,0.1389455131509464
0.13365428618662095,0.7019086895206207,0.08601759668845438,0.0784194276043041
0.7208891363391721,0.17452138167736808,0.044264762043028025,0.06032471994043181
0.7432227666001346,0.1079904906966709,0.07843655601968996,0.07035018668350457
0.7237454658239278,0.10305052352508287,0.06835958157479406,0.10484442907619532
0.0908112294456544,0.7730097117865651,0.07315933003972816,0.0630197287280525
0.09581831336480849,0.09945307308018722,0.7424198978311796,0.06230871572382479
0.14757962047968612,0.13870933576978872,0.6401580076071678,0.07355303614335745
0.08853562516008036,0.5221960971298886,0.3135584350792613,0.07570984263076994
0.07125586473376791,0.0924701299672693,0.05849972544169322,0.7777742798572697
0.06493691820197589,0.08661385907501878,0.7222952951530363,0.12615392756996907
0.08045527892840175,0.7129548149203202,0.14853050223284217,0.05805940391843597
0.10136185087642018,0.11408130143543839,0.6630866075234302,0.12147024016471124
0.08171087351771275,0.09724426790376318,0.14367542046034673,0.6773694381181774
0.7401123531888912,0.09789755569034722,0.08021504274775737,0.08177504837300427
